	position in rank using contigs	position in rank with raw reads	counts - contigs	counts - raw reads
MANB	2790	3111	330	92
BMUL_3221	2790	3141	330	90
YADE	2790	8686	330	0
PLXNB2	2795	1980	329	267
BL00144	2795	2252	329	198
YWTE	2795	7103	329	14
GCVR	2798	1726	328	368
YVGN	2798	2350	328	180
IOLA	2798	3965	328	52
SIAP	2798	8686	328	0
EPS8	2802	2158	327	219
PPX2	2802	6027	327	21
FDX	2804	949	326	1230
IQGAP1	2804	1753	326	353
RRBP1	2806	1765	325	349
HDEF_0251	2806	2947	325	104
IQGAP2	2808	1749	324	354
ENO1	2808	1868	324	307
SLC25A5	2808	2006	324	258
YFHO	2808	3931	324	53
SECF	2808	6180	324	20
EEF2	2813	1691	323	391
XYLB2	2813	5072	323	31
COBU	2813	6769	323	16
ATOD	2813	8686	323	0
GPR128	2817	2243	322	199
HS1,02	2817	8686	322	0
HTH_0473	2819	8686	321	0
SLC15A1	2820	2042	320	249
CAP5O	2820	2095	320	234
SPOIIR	2820	2918	320	106
RAGG	2823	3560	318	67
HTPX	2824	1868	317	307
ASRB	2824	1924	317	288
SAGB	2826	5395	316	27
BVU_0679	2827	1082	315	946
TRAJ	2827	1606	315	439
YNHH	2827	8686	315	0
PSTA	2830	2503	314	154
TRPA	2830	2639	314	134
BL01808	2830	2678	314	130
ELF3	2833	2219	313	205
PABA	2833	8686	313	0
SRTA	2835	2158	311	219
ST14	2835	2369	311	176
FHUC	2835	2804	311	118
CYSG	2835	2987	311	101
OPRM	2839	3017	310	99
MODA	2839	3141	310	90
YEGV	2839	8686	310	0
YCJT	2842	4073	309	49
CBIG	2842	4116	309	48
SCLAV_5079	2842	6769	309	16
PURU	2845	2906	308	107
RSMC	2845	3817	308	57
YHFA	2845	8686	308	0
SELD	2848	1577	307	457
DAT	2849	1582	306	454
SLE1	2849	1611	306	435
YABJ	2849	1686	306	393
SUPH	2849	3845	306	56
BAPC	2853	1185	305	821
ANXA2	2853	1693	305	390
CLVE	2853	8686	305	0
CINI	2856	3452	304	72
LCFA	2856	8686	304	0
Y3792	2858	4249	303	45
ORF2	2858	4441	303	41
FRUR2	2858	5481	303	26
YOAP	2861	1531	302	491
WCFG	2861	8686	302	0
MYO5B	2863	1873	301	305
RHOM_13730	2863	8686	301	0
FADD7	2863	8686	301	0
EUTC	2866	2127	300	225
SLC9A2	2866	2177	300	215
PLNI	2866	6433	300	18
PRKCD	2869	1906	298	293
SP_0830	2869	2326	298	184
BMUL_1373	2869	6950	298	15
BAS3251	2869	8686	298	0
S100A6	2873	2154	297	220
DRRA	2874	3424	296	73
MYO5C	2875	1737	294	364
GPA33	2875	2629	294	135
PIP	2875	5309	294	28
ZNUB	2878	2305	293	189
TOCE_0281	2878	4341	293	43
CGGR	2880	1878	292	303
SP_1327	2880	8686	292	0
GLDM	2880	8686	292	0
BMUL_0586	2880	8686	292	0
SCLAV_0170	2880	8686	292	0
TLDD	2885	1910	291	292
SLC6A8	2885	2158	291	219
SPOIVFB	2885	3192	291	86
MANY	2888	1191	290	813
YODJ	2888	2188	290	212
NFI	2888	4441	290	41
ENC_21990	2888	8686	290	0
HGDB	2892	1774	289	342
MGAT4A	2892	2106	289	231
EPPK1	2892	2811	289	117
SCLAV_0435	2892	3931	289	53
OORD	2892	4116	289	48
YJJG	2892	4249	289	45
AM1_0129	2892	8686	289	0
ADH1A	2899	2335	288	183
TAGF	2899	5805	288	23
C6ORF222	2901	1941	287	282
RUB	2901	2211	287	206
MUTE	2901	2223	287	204
GOLGA4	2904	1726	286	368
PHND	2904	2623	286	137
TMEM45B	2906	2112	285	229
MLPA	2906	4600	285	38
PDXT	2906	5148	285	30
YBFA	2906	8686	285	0
ECA3408	2906	8686	285	0
HSPA8	2911	1837	284	319
RFBE	2911	3338	284	78
CAP5F	2913	1921	283	289
ATP10B	2913	2211	283	206
MM_0397	2913	8686	283	0
CLDN7	2916	2355	282	179
SPOVB	2916	6433	282	18
CS	2918	2211	281	206
DGOT	2918	2375	281	175
WBPG	2918	3817	281	57
XYLF	2918	5923	281	22
YRHO	2918	7629	281	11
HK2	2923	2049	280	247
FRLD	2923	3338	280	78
FKP	2923	3657	280	63
MNTP	2923	4341	280	43
BAS2534	2923	8686	280	0
BGLH	2928	1418	279	576
TPT1	2928	1876	279	304
NQRE	2928	2918	279	106
YDHV	2928	3096	279	93
AMET_1910	2928	3250	279	83
MODF	2928	4249	279	45
MT0235	2928	7463	279	12
YNGI	2935	1721	278	370
CTNNA1	2935	1972	278	271
BTN3A2	2935	2049	278	247
EPS8L2	2938	2058	277	245
SP_0182	2939	3129	276	91
CLCAR_1100	2939	6433	276	18
SP_2141	2939	8686	276	0
TRPE	2942	2168	275	217
CCDA	2942	3017	275	99
MODC	2942	3285	275	81
FER1L6	2945	1858	274	312
CCRB	2945	2092	274	235
ATP5B	2945	2106	274	231
DLTS	2945	5585	274	25
FURR	2945	6312	274	19
LUXC	2945	8686	274	0
YCAM	2951	1637	273	420
TGOLN2	2951	2003	273	260
FRDC	2951	2791	273	119
TRER	2951	2899	273	108
PSTB	2955	1467	272	543
LACC	2955	2856	272	112
YWLG	2955	3578	272	66
CKC_01010	2955	7629	272	11
MUTL2	2955	8686	272	0
BMUL_2968	2960	1945	271	280
SP_0859	2960	2381	271	174
TRAC	2962	1091	270	932
ERIC	2962	2381	270	174
BMUL_2770	2962	8175	270	8
ANPEP	2965	1882	269	301
CITF	2965	2068	269	242
RBSA	2965	2154	269	220
AASI_0458	2965	8175	269	8
GFPT1	2969	2087	268	236
YCBN	2969	2717	268	126
LYSR	2969	3424	268	73
RVAN_0028	2969	8686	268	0
TRAF2	2973	3129	267	91
CAP5G	2974	1496	266	517
PABB	2974	3001	266	100
MMCQ	2974	4441	266	41
YUNB	2974	8467	266	6
POTE	2978	1971	265	272
DGKA	2978	3373	265	76
SP_1851	2978	8686	265	0
SPXA	2981	1361	264	625
BIOD	2981	4902	264	33
MOBB	2981	5072	264	31
SCLAV_4709	2981	6027	264	21
YHID	2981	8686	264	0
LGALS3	2986	2011	263	256
RUMG	2986	2745	263	123
PDUE	2986	3226	263	84
AADA	2986	6607	263	17
YGAD	2986	8686	263	0
ZNUC	2991	1936	262	284
HIPO	2991	3182	262	87
BL00603	2991	4600	262	38
EIF2S2	2994	2084	261	237
NQRC	2994	3351	261	77
IADA	2996	2731	260	125
MMDC	2996	4341	260	43
SCLAV_2165	2996	5585	260	25
RHPN2	2999	2095	259	234
PHOU	2999	2567	259	144
MYO1A	3001	2023	258	254
ERBB3	3001	2106	258	231
AVTA2	3001	2820	258	116
ACSL3	3004	2058	257	245
MEFE	3004	8686	257	0
KLF4	3006	4712	256	36
YGFZ	3006	8686	256	0
INT	3006	8686	256	0
NUCLEASE	3006	8686	256	0
MLEP	3010	2843	255	114
BLA2	3010	6769	255	16
DTOX_2425	3010	8686	255	0
DSTN	3013	1700	254	386
VATB	3013	2087	254	236
WBBI	3013	5395	254	27
EPSK	3013	8686	254	0
LGAS_0620	3013	8686	254	0
SPOVAD	3018	2045	253	248
CPAP_0279	3018	2127	253	225
CTSS	3018	2361	253	177
TXN	3018	2731	253	125
RPBA	3018	3731	253	60
PLS1	3023	1978	252	268
BMUL_5091	3023	2918	252	106
WBBJ	3023	4546	252	39
TDH2	3026	1717	250	374
DLGD	3026	1924	250	288
TCYC	3026	2629	250	135
PRFH	3026	6180	250	20
YCAO	3026	8686	250	0
YXJI	3031	2830	249	115
REG3A	3031	3373	249	76
CMO	3031	8686	249	0
CTNND1	3034	2440	247	164
YBBH	3034	8686	247	0
QUIP	3034	8686	247	0
MODB	3037	1810	246	329
DSY0812	3037	4712	246	36
CPN_0542	3037	5148	246	30
AAAT	3037	8686	246	0
YESO	3037	8686	246	0
CLMN	3042	2280	245	194
RGPA	3042	3001	245	100
CSH	3042	3001	245	100
KINB	3042	6433	245	18
TUAH	3042	8686	245	0
MPHOSPH8	3047	8686	244	0
MGAM	3048	1850	243	315
THIM	3049	2258	242	197
LGTD	3049	6312	242	19
BMUL_1388	3049	8686	242	0
MYO18A	3052	2036	241	251
RAB11FIP1	3052	2319	241	186
CRES_0873	3052	3708	241	61
AGUD	3052	4501	241	40
YISX	3052	4658	241	37
YEDK	3052	5481	241	26
AMPG2	3058	4073	240	49
HP1117	3058	8686	240	0
IOLH	3060	1882	239	301
CLDN3	3060	2482	239	157
SP_0686	3060	8686	239	0
BMUL_0468	3063	2188	238	212
B2M	3063	2219	238	205
STK25	3063	2419	238	167
FOS	3063	2830	238	115
ROCR	3063	4199	238	46
LICD3	3063	6433	238	18
ENGASE	3063	7989	238	9
DALK_1299	3063	8686	238	0
PZ17SB	3071	1323	237	664
CNNM4	3071	2033	237	252
MRR	3071	2424	237	166
MOM	3071	8686	237	0
SPSC	3075	1957	236	277
PTS-EIIC	3076	1838	235	318
BA_2466	3076	4658	235	37
YHBQ	3076	6433	235	18
TTN	3076	7463	235	12
SIGF	3080	2072	234	241
ENVZ	3080	4902	234	33
YBAP	3080	8686	234	0
CDPW8_0150	3080	8686	234	0
ACOX1	3084	2270	233	196
IFNGR1	3084	2791	233	119
BEXB	3084	3182	233	87
XKDK	3084	4040	233	50
PRRC	3088	2361	232	177
THIW	3088	3531	232	68
YBXI	3088	3845	232	56
CELE	3088	7989	232	9
OCAR_5523	3088	8686	232	0
BL0239	3088	8686	232	0
NEU1	3094	2326	231	184
NUDB	3094	6027	231	21
SP_0666	3094	8686	231	0
HELD	3097	2084	230	237
NQRD	3097	2199	230	209
PRSS32	3097	2867	230	111
VIRB4	3097	3900	230	54
GFO_1231	3097	4985	230	32
YIHQ	3097	6027	230	21
ABPB	3097	8686	230	0
C15ORF48	3104	3226	229	84
YCLI	3104	5923	229	22
PHP	3104	8686	229	0
CLTC	3107	2058	228	245
YKFB	3107	2062	228	244
ETHHA_1131	3107	2962	228	103
CZCA	3107	3657	228	63
YQHA	3107	4985	228	32
HPAC	3107	7463	228	12
DNDB	3107	8686	228	0
YORFA	3107	8686	228	0
PORT	3107	8686	228	0
AARI_34710	3116	8686	227	0
YCBJ	3116	8686	227	0
SECTM1	3116	8686	227	0
BTRU	3119	3059	226	96
CAS5H	3120	1755	225	352
CTB5	3120	2791	225	119
SMC1	3120	8686	225	0
MYL6	3123	2123	224	226
YGEX	3123	2759	224	122
WDR1	3125	2315	223	187
LPG0144	3125	4985	223	32
BL00189	3127	2369	222	176
NOSR	3127	2513	222	152
SCLAV_5159	3127	3226	222	84
LY6I	3127	3301	222	80
EUTT	3127	4341	222	43
LLMG_1348	3127	8686	222	0
YJBQ	3133	2431	221	165
VIRR	3133	2745	221	123
ABGT	3133	2987	221	101
LRGA	3133	3787	221	58
CAS2	3137	2811	220	117
CTPF	3138	1845	219	316
HNF4A	3138	2072	219	241
ARAH7	3138	6607	219	17
FABZ	3141	1573	218	460
SPMA	3141	3900	218	54
ENC_10390	3141	4073	218	49
COMD	3141	8686	218	0
SGLY_0560	3145	1838	217	318
ABHD2	3145	2388	217	173
CEACAM20	3145	2513	217	152
ULAE	3145	3338	217	78
AACA-APHD	3145	8686	217	0
DAPH	3150	2062	216	244
XDH	3150	2243	216	199
PRSS30	3150	3657	216	63
YOJO	3150	8686	216	0
TRAK1	3154	2099	215	233
PTPRH	3154	2164	215	218
SP_0636	3154	3226	215	84
DMNB	3154	3845	215	56
BMUL_5953	3154	6607	215	17
OCAR_5670	3154	8686	215	0
DHAD	3160	2335	214	183
YUDD	3160	3509	214	69
YUIF	3160	4390	214	42
YQJE	3160	4767	214	35
LSGF	3160	8686	214	0
GLYOXALASE	3160	8686	214	0
HIST1H1C	3166	2188	213	212
CXADR	3166	2567	213	144
CALM2	3166	2849	213	113
RLUA	3166	5805	213	23
AMET_0414	3166	7463	213	12
FJO13	3166	8686	213	0
WECB	3172	1519	212	502
SPOVAC	3172	2036	212	251
SELENBP1	3172	2513	212	152
FABB	3172	2791	212	119
DST	3176	1414	211	580
PDHB	3176	1743	211	361
YIDJ	3176	2830	211	115
YQFU	3176	3111	211	92
STRA	3176	8686	211	0
GSN	3181	2346	210	181
HEPA	3181	2513	210	152
RPL21	3181	2867	210	111
GLAA	3181	4160	210	47
YVBA	3181	5395	210	27
LYTH	3186	2074	209	240
MANZ	3186	2252	209	198
SLC44A1	3186	2431	209	165
LDB1079	3186	3845	209	56
GMR	3186	8686	209	0
VSAL_I0168	3186	8686	209	0
ELAB	3186	8686	209	0
HSDM1	3193	1153	207	859
BIOB	3193	2011	207	256
IRAE	3193	2772	207	121
BFMBA	3193	2780	207	120
TRAE	3193	5309	207	28
PCK	3193	8686	207	0
BL01679	3199	2918	206	106
YCIO	3199	4073	206	49
CPN_0877	3199	7629	206	11
PGN_0049	3199	7629	206	11
PDHC	3203	1682	205	395
OCAR_7338	3203	2211	205	206
TMCC3	3203	2258	205	197
ATP2A3	3203	2424	205	166
BL00279	3203	2473	205	158
TOGB	3203	2936	205	105
ANKS4B	3203	3156	205	89
SERPINB6	3210	2326	204	184
PGK1	3210	2473	204	158
GARD	3210	3033	204	98
HP1	3210	3817	204	57
YNGK	3210	4040	204	50
YVFO	3210	5481	204	26
ARNG	3210	6312	204	19
ACFER_0148	3210	8686	204	0
PDHA	3218	1594	203	447
EUTL	3218	2289	203	192
GSDMD	3218	2811	203	117
SCLAV_4287	3218	4902	203	33
SELIN_0976	3218	6950	203	15
CRED	3218	7989	203	9
RUMAL_2694	3224	1565	202	474
TNP	3224	2142	202	222
DCUA	3224	2424	202	166
CA1	3224	2522	202	151
SYTL2	3224	2660	202	132
SP_0092	3224	2759	202	122
MMC1_1337	3224	3424	202	73
SLEB	3224	6607	202	17
PEAH	3224	8686	202	0
PAEY	3224	8686	202	0
MS4A8B	3234	2856	201	112
EXOT	3234	8686	201	0
SCLAV_1402	3236	2401	200	171
BGLA1	3236	2464	200	160
BL03131	3236	8686	200	0
NODB	3236	8686	200	0
APRX	3240	5805	199	23
RAFR	3240	8686	199	0
PYRG1	3240	8686	199	0
BMUL_1928	3243	2092	198	235
FLAR	3243	3761	198	59
CFPL	3243	8686	198	0
BGLF	3246	2311	197	188
TDC	3246	2357	197	178
CYAB	3246	8686	197	0
PNUC	3249	2660	196	132
USP53	3249	2745	196	123
WTAP	3249	6027	196	21
SP_0010	3249	8333	196	7
LLMG_0050	3253	946	195	1238
TJP1	3253	2243	195	199
GLAB	3253	2409	195	169
FG03762,1	3253	8686	195	0
MBUR_0073	3257	2369	194	176
COBJ	3257	2906	194	107
BMUL_3112	3257	8686	194	0
HSPA5	3260	2243	193	199
SLC9A3R1	3260	2595	193	141
YGAF	3260	2629	193	135
ABF	3260	5072	193	31
SP_0161	3260	8686	193	0
PYRP	3265	1898	192	296
SON	3265	2414	192	168
YGFM	3265	3787	192	58
LIPB	3265	4712	192	36
PMBA	3265	6027	192	21
HCAN_0639	3265	8686	192	0
GLDL	3265	8686	192	0
MAQU_0025	3272	2671	191	131
SPOIIP	3272	3087	191	94
YYZM	3274	1673	190	399
APP	3274	2344	190	182
GUAC	3274	2671	190	131
PSPA	3274	4040	190	50
NAPG	3274	4839	190	34
PPK_2	3274	6950	190	15
PAAI2	3274	8686	190	0
TMEM59	3281	2660	189	132
ESTS	3281	3182	189	87
CHBP	3283	2158	188	219
HBAC	3283	6607	188	17
SPRR3	3283	8686	188	0
YDEE	3283	8686	188	0
PHNL3	3283	8686	188	0
MSHM	3283	8686	188	0
LGTA	3283	8686	188	0
PITRM1	3290	2445	187	163
YHAH	3290	2575	187	143
CBID	3290	3250	187	83
CLOS_1894	3290	3761	187	59
GPUP	3290	8686	187	0
UTP14A	3295	2203	186	208
LIMA1	3295	2585	186	142
SLC2A1	3295	2660	186	132
YSXB	3295	3111	186	92
RIML	3295	4767	186	35
CBF	3295	5072	186	31
OCAR_4148	3295	8686	186	0
TPI1	3302	2289	185	192
PFKP	3302	2629	185	135
BL02553	3302	3999	185	51
TAUZ	3302	5072	185	31
BAS3305	3302	7629	185	11
TCAA	3302	8686	185	0
WBBK	3302	8686	185	0
BITC	3309	2473	184	158
MUTF	3309	2639	184	134
CCNG2	3309	3017	184	99
ABN2	3309	7103	184	14
TNSC	3309	8686	184	0
KIAA1217	3314	2392	183	172
BL01807	3314	4441	183	41
BL02554	3314	8686	183	0
BL03231	3314	8686	183	0
MACF1	3318	1492	182	520
MRPD	3318	7629	182	11
MBRD	3318	8686	182	0
CALNI_0146	3321	2335	181	183
IVNS1ABP	3321	2616	181	138
PMP22	3321	3411	181	74
SGAA	3321	3999	181	51
SP_1019	3321	4073	181	49
GGH	3326	2414	180	168
CAS6	3326	3872	180	55
YYBS	3326	8686	180	0
RUMAL_0756	3326	8686	180	0
WBSE	3326	8686	180	0
YTCJ	3326	8686	180	0
YESN	3326	8686	180	0
GYY_07575	3326	8686	180	0
NBR1	3334	2780	179	120
YXIA	3334	3787	179	58
ZNUA	3334	6180	179	20
DNAJA3	3334	8686	179	0
RGPB	3334	8686	179	0
SF3B1	3339	2424	178	166
KIPA	3339	2497	178	155
SPINT1	3339	2867	178	111
SDS	3339	7283	178	13
SP_0022	3339	8686	178	0
AHNAK2	3344	2095	177	234
RASEF	3344	2684	177	129
DESOR_0674	3344	2962	177	103
GBD	3344	5923	177	22
SANA	3344	6433	177	18
FHAB	3344	8686	177	0
GK0887	3344	8686	177	0
GPI	3351	2350	176	180
YACL	3351	3817	176	57
MUTT2	3351	6769	176	16
SPB_1147	3351	8686	176	0
IPMK	3355	2177	175	215
FTSL	3355	2856	175	112
NMUL_A0047	3355	5230	175	29
RELA2	3355	6433	175	18
CHIA	3355	8686	175	0
ECO0044	3355	8686	175	0
MALY	3361	2553	174	146
SPOIIQ	3361	2714	174	127
CSCA	3361	3059	174	96
BA_5704	3361	8686	174	0
SPSF	3361	8686	174	0
ACCA	3366	1545	173	484
JUND	3366	2361	173	177
MEP1A	3366	2497	173	155
ENDOD1	3366	2759	173	122
VPS54	3366	2947	173	104
ARRDC4	3366	3560	173	67
CRR	3366	4040	173	50
MMC1_1377	3366	4441	173	41
WBPU	3366	8686	173	0
FADR	3366	8686	173	0
PLC	3366	8686	173	0
GOBS_2890	3366	8686	173	0
KLK1	3378	2567	172	144
ATOE	3378	2936	172	105
NET1	3378	3268	172	82
MT3270	3378	3817	172	57
DOC	3382	2714	171	127
TAPBP	3382	3301	171	80
PLAV_1224	3382	6180	171	20
YJJW	3382	8686	171	0
HIMA	3382	8686	171	0
YLXR	3387	1696	170	389
CD2AP	3387	2431	170	165
OCLN	3387	2651	170	133
CLDN4	3387	2936	170	105
GMHA	3387	3488	170	70
RPE_0249	3387	8686	170	0
PEZT	3387	8686	170	0
LIGT	3387	8686	170	0
DSY1304	3395	555	169	3239
MSRA	3395	1745	169	360
LACB	3395	2289	169	192
ENO3	3395	2305	169	189
UPP1	3395	2392	169	172
MVP	3395	2684	169	129
BL02377	3395	3578	169	66
DHAM	3395	7463	169	12
HDRG	3403	1705	168	380
BMUL_5125	3403	1758	168	351
PHSA	3403	3170	168	88
RHAT7	3403	4712	168	36
SCLAV_3464	3403	8467	168	6
MVIM2	3408	2559	167	145
F11R	3408	2830	167	115
YIHV	3408	8467	167	6
NUDT13	3408	8686	167	0
BMUL_2198	3412	2595	166	141
PTPRJ	3412	2639	166	134
PROB2	3412	3059	166	96
RHAR	3412	8686	166	0
YCSF	3416	1679	165	396
TMBIM6	3416	2533	165	148
BTG1	3416	2947	165	104
MUCD	3416	3708	165	61
YEBQ	3416	8333	165	7
TKTB1	3416	8686	165	0
SLC25A3	3422	2300	164	190
FE-ONLY	3422	2375	164	175
JUN	3422	2409	164	169
MYO1D	3422	2545	164	147
UGDH	3422	2585	164	142
MEP1B	3422	2595	164	141
LYTE	3422	6769	164	16
EPSG	3422	8686	164	0
COMX	3422	8686	164	0
ANXA4	3431	2506	163	153
DNM2	3431	2545	163	147
YIIZ	3431	3096	163	93
GUCA2A	3431	3301	163	80
CBRC	3431	3488	163	70
BL00276	3431	8686	163	0
CELD	3437	2208	162	207
YBGF	3437	8686	162	0
PORD	3439	1984	161	266
CLIC5	3439	2445	161	163
MON2	3439	3679	161	62
PPK1	3439	4658	161	37
HXLA	3439	5805	161	23
CCMK2	3444	2625	160	136
SIGX	3444	3931	160	53
TYCD	3444	7103	160	14
CP_0348	3444	8686	160	0
YISR	3444	8686	160	0
HLYX	3449	2102	159	232
SPAG9	3449	2585	159	142
GPRC5A	3449	2906	159	107
CWLV	3449	8686	159	0
MAPK13	3453	2305	158	189
UGPE	3453	2405	158	170
JUP	3453	2559	158	145
SRLE	3453	5148	158	30
CST1	3453	8686	158	0
SP_1821	3453	8686	158	0
IOLC	3459	1833	157	320
ABIGII	3459	2888	157	109
CHRA	3459	6769	157	16
MRUB_1019	3459	7629	157	11
TM9SF2	3463	2639	156	134
NEDD9	3463	3395	156	75
SCLAV_5203	3463	7629	156	11
YUXL	3466	2625	155	136
FOXO3	3466	3156	155	89
OPUCB	3466	3424	155	73
SCLAV_5374	3466	8686	155	0
YXEI	3466	8686	155	0
LACG	3471	2135	154	223
SLC40A1	3471	2595	154	141
PUCG	3471	3170	154	88
CHVG	3471	4712	154	36
LPSA	3471	8175	154	8
VAPC	3471	8686	154	0
YAFP	3477	2918	153	106
TNFAIP3	3477	3208	153	85
CAP5N	3477	3900	153	54
YQEB	3477	3965	153	52
BL02069	3477	8686	153	0
MTTC1	3477	8686	153	0
HS3,03	3477	8686	153	0
KRT18	3484	2335	152	183
GPSB	3484	2381	152	174
PLCB3	3484	2473	152	158
GSID	3484	3596	152	65
YBBE	3484	5148	152	30
RMPB	3484	8686	152	0
CLCAR_1427	3484	8686	152	0
CPD	3491	2503	151	154
CD9	3491	2684	151	129
TFCP2L1	3491	2936	151	105
ID587	3491	3509	151	69
COMC	3491	8686	151	0
FEOA	3496	2234	150	200
ZCCHC6	3496	2392	150	172
RHOC	3496	2759	150	122
PDXDC1	3496	2804	150	118
PTBP3	3496	3226	150	84
DIVIB	3496	3999	150	51
OCAR_6928	3496	4160	150	47
TNSB	3496	4712	150	36
HPKA	3496	8686	150	0
AM1_0507	3496	8686	150	0
YDHY	3496	8686	150	0
FRYL	3507	2181	149	214
SPICA_1756	3507	2482	149	157
SPTLC2	3507	2660	149	132
GTPBP2	3507	2830	149	115
EZRA	3511	1815	148	327
GOLM1	3511	2451	148	162
TRIM31	3511	2772	148	121
GRDX	3511	4902	148	33
AACA7	3511	8686	148	0
OXAA	3511	8686	148	0
OCAR_5870	3517	2445	147	163
DCM2	3517	2684	147	129
PROM1	3517	2780	147	120
DITI	3517	3301	147	80
BL01442	3517	3965	147	52
GSIC	3517	4291	147	44
AVAIR	3517	8686	147	0
MDLB	3524	1906	146	293
MANO	3524	2300	146	190
YHGE	3524	2745	146	123
NUDT4	3524	2759	146	122
YQHH	3524	3657	146	63
BVU_0353	3524	5230	146	29
BL03504	3524	7629	146	11
RV2636	3524	8686	146	0
SP_2133	3532	1458	145	546
NUCB1	3532	2513	145	152
CTSL2	3532	2610	145	139
PLEKHA6	3532	2906	145	107
TMC4	3532	3182	145	87
AMET_0853	3532	3268	145	82
SDRC	3532	8686	145	0
PEPE	3532	8686	145	0
YCGM	3532	8686	145	0
DET0645	3532	8686	145	0
CD82	3542	2791	144	119
SDCBP2	3542	3192	144	86
HYUE	3542	8686	144	0
ATP5A1	3545	2293	143	191
CYP3A4	3545	2513	143	152
YVFR	3545	2684	143	129
PLIN2	3545	2906	143	107
LDB1075	3545	8686	143	0
CSIR	3545	8686	143	0
COF4	3545	8686	143	0
PDHD	3552	1494	142	519
SLC39A4	3552	3059	142	96
ACTR2	3552	3578	142	66
YDJL	3552	4985	142	32
BMUL_4099	3552	7283	142	13
TETM	3552	8686	142	0
YDDK	3552	8686	142	0
KIF1C	3559	2962	141	103
SEMA4G	3559	3033	141	98
INSK	3559	3285	141	81
YAZA	3559	4160	141	47
YFML	3559	4199	141	46
SP_1686	3559	4291	141	44
GTH1	3559	8686	141	0
SSCG_02866	3559	8686	141	0
INIC	3559	8686	141	0
ARHGAP5	3568	2346	140	181
MYO1E	3568	2468	140	159
SPPL2A	3568	2918	140	106
GNB1	3568	3817	140	57
RIHA	3568	4116	140	48
RFBQ	3568	8686	140	0
NIT2	3574	2319	139	186
SLC37A2	3574	2717	139	126
TMC5	3574	2881	139	110
IRF1	3574	3017	139	99
RNMV	3574	3192	139	86
YTSP	3574	4501	139	40
REG_0078	3574	8686	139	0
MLLT4	3581	2168	138	217
RV3401	3581	2738	138	124
SERINC3	3581	2906	138	107
YHBS	3581	3531	138	68
SCLAV_2091	3581	8175	138	8
YPHF	3581	8686	138	0
FG07100,1	3581	8686	138	0
Y0597	3581	8686	138	0
PABC	3581	8686	138	0
MLPH	3590	3111	137	92
NCOA4	3590	3373	137	76
YDFK	3590	5805	137	23
MSMX	3593	2258	136	197
MCL1	3593	2522	136	151
RHOB	3593	3017	136	99
PPP1CB	3593	3531	136	68
COBS	3593	4390	136	42
OCAR_5925	3593	8686	136	0
YDAM	3593	8686	136	0
NORN	3593	8686	136	0
SHROOM3	3601	2527	135	150
MAMA	3601	3182	135	87
TAGA	3601	6607	135	17
YCDX	3601	7989	135	9
SPOIIID	3605	1933	134	285
ACTR3	3605	2651	134	133
YWHAZ	3605	2731	134	125
EPB41L4B	3605	3073	134	95
HPAIIM	3605	3111	134	92
VANYB	3605	4341	134	43
YBES	3605	8686	134	0
SPOVAE	3612	2045	133	248
DIAPH1	3612	2545	133	147
SEMA4A	3612	3208	133	85
TMPRSS4	3612	3351	133	77
GPO	3612	3845	133	56
WBBX	3612	4249	133	45
PTMA	3612	5805	133	23
YHCA	3619	2451	132	162
VDAC2	3619	2651	132	133
TCF7L2	3619	4073	132	49
CYTR	3619	6607	132	17
MYO7B	3623	2177	131	215
SUCB	3623	2286	131	193
PDCD6IP	3623	2575	131	143
SULT1B1	3623	2684	131	129
CFA	3623	2703	131	128
NDFIP2	3623	3452	131	72
PHNB	3623	8686	131	0
SPAA	3623	8686	131	0
SCLAV_3902	3631	2188	130	212
CSHB	3631	2319	130	186
SORD	3631	2559	130	145
FAM120A	3631	2671	130	131
SCLAV_2513	3631	2717	130	126
CCNI	3631	3761	130	59
CHUW	3631	8686	130	0
ISP	3631	8686	130	0
HMP	3639	1107	129	909
SPTAN1	3639	1794	129	335
YJBR	3639	2745	129	123
RNASET2	3639	3001	129	100
TOCE_0081	3639	3017	129	99
BMUR_1701	3639	8686	129	0
SP_1924	3639	8686	129	0
YHAZ	3639	8686	129	0
SCLAV_2631	3639	8686	129	0
KSE_00300T	3639	8686	129	0
ORAE	3649	2120	128	228
ARHGEF5	3649	2820	128	116
ARPC1B	3649	3017	128	99
FBXO32	3649	3268	128	82
HSLV	3649	3395	128	75
ACOL	3649	3657	128	63
BMUL_0681	3649	3787	128	58
SP_1720	3649	4712	128	36
BAICD	3649	7814	128	10
GFO_1230	3649	8686	128	0
SP_0256	3649	8686	128	0
ALDH2	3660	2639	127	134
ERBB2	3660	2717	127	126
JUNB	3660	4073	127	49
IRLR	3660	6312	127	19
AVAIM	3660	7629	127	11
YIHX	3660	8686	127	0
RR09	3660	8686	127	0
OCAR_6108	3660	8686	127	0
SQRDL	3668	2703	126	128
B3GALT5	3668	2745	126	123
RPL9	3668	2888	126	109
CORO1B	3668	2888	126	109
YOCS	3668	4199	126	46
CLPP2	3668	5481	126	26
CLOSA_0730	3668	6180	126	20
BL05058	3668	8686	126	0
YQFC	3668	8686	126	0
DHAG	3668	8686	126	0
YFDR	3668	8686	126	0
SP_0055	3668	8686	126	0
PEPN	3680	1889	125	299
GATD	3680	2293	125	191
CSOR	3680	2533	125	148
RDH16	3680	3268	125	82
SEPP	3680	8686	125	0
EPSE	3680	8686	125	0
